county,ghg_intensity,setback_coverage,cost,emp_per_bbl
"Alameda",23.21528,.5379494,18.23072,.0003789
"Contra Costa",36.75947,.8098447,18.23072,.0018611
"Fresno",48.63249,.213999,31.65003,.0001601
"Humboldt",36.75947,0,20.56183,
"Kern",49.85608,.206807,30.85397,.0001097
"Kings",31.32055,.0156325,33.14881,.0001953
"Los Angeles",41.87231,.767783,21.56743,.0003296
"Monterey",63.99395,.1230441,28.20155,.0001691
"Orange",32.507,.8918873,19.64882,.000408
"Riverside",36.75947,.1324849,17.31172,
"San Benito",31.50142,.2073928,23.28613,.0000271
"San Bernardino",34.5295,.4428662,19.46322,.0003374
"San Luis Obispo",64.01508,.0548476,23.26854,.0003387
"San Mateo",36.75947,.616925,18.23072,.0002598
"Santa Barbara",44.68222,.1072001,32.62404,.0001253
"Santa Clara",24.22464,0,18.23072,.0002933
"Sonoma",36.75947,.0063565,18.23072,
"Tulare",42.35204,.8857476,36.40781,.0003488
"Ventura",29.98165,.2735875,30.58365,.0001328
